GeoFips,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
22000,Louisiana,212392.4,204906.9,225308.9,229945,235384.7,230832.5,240737.3,235113.5,227090.7,241704.2,255810.3,254562
23000,Maine,50713.2,51123.8,52256.2,52575.5,53679.7,54470.1,56410.8,58131.3,60254.4,62412.9,65491.9,68452.9
24000,Maryland,295400.2,299102.7,314728.3,326281.2,332523.5,340577.6,352761.3,369728.1,387733.4,400406,411099.8,421609.5
25000,Massachusetts,390778.4,390504.8,411136.1,425523,442916.9,454321.2,470468.5,498851.3,514637.6,532354.3,564047.3,593256.7
26000,Michigan,390420.9,368733.8,390043,404554.7,422691.2,437274.4,451773.2,474983.3,490264,501751.6,520802.6,531434.6
27000,Minnesota,267420.6,262088.9,274231.3,287039.3,298328.3,311126.4,324751.4,335530.2,344060.8,354684.2,373419.5,383039.6
28000,Mississippi,94514.5,91792.2,93943.1,96218,100448.4,102371,104300.3,105914.6,107291.4,109962.5,112406.8,114733.8
29000,Missouri,254045.8,253317.7,259816.1,262067.1,271535.1,280571,287507.5,296929.3,300914.5,308722.1,319393.9,332272.9
30000,Montana,37224.9,36187.8,38336.1,40995.1,42340.9,43687.9,45177.2,46604.1,45490.9,48439.5,50903.8,51789.3
31000,Nebraska,85628,86870.4,91561.5,99921.1,102725.9,107260.7,111945.9,116514.6,118145.9,121946.3,126922.7,131352.4
32000,Nevada,130609.5,122127.1,124669.4,127677.9,129312.9,132086.4,136008.7,145115.9,151840.4,160785,170352.9,181743.3
33000,New Hampshire,61700.2,62522.9,64843.6,66153.2,68498.1,70476.2,72995.2,76478,79090.1,80665.9,83844,87507.6
34000,New Jersey,496227.2,482458.9,492762.4,495965.8,517195.9,534177.8,542842.8,563233.8,575501,586374.6,613508.7,639436.7
35000,New Mexico,84688.4,82461.5,84611.5,87062.8,87925.2,88756.9,92185.7,90274.3,89769.4,92311.1,97269.2,101971.5
36000,New York,1116591,1160081.3,1223529.7,1247605.8,1328233.5,1365529,1430923.3,1487627.6,1551354.1,1603903.4,1694957.9,1777751.8
37000,North Carolina,418793.4,411155.8,420027.6,431722.7,445095.3,462268.9,483191.3,508928.7,526029.8,549670.6,569981.7,595655.4
38000,North Dakota,31874.4,32226,35676.2,41587.7,51832.6,54271,59926.3,55996.9,51989.2,55228,59092.6,59004.5
39000,Ohio,496919.4,482281.1,500515.3,528189.9,545740.1,566532.4,595640.9,611019.5,623265.3,641745.8,666973.9,693199.3
40000,Oklahoma,160763.7,146633,154287.4,166235.8,174874.4,182694.7,196631.6,186815.6,181244.4,190674.5,202466.6,203699.7
41000,Oregon,164925.4,159607.3,164137.2,170630.9,174611,179527.7,188120.7,200659.6,211305.9,222613.8,237066,246647.1
42000,Pennsylvania,588024.6,582144.8,604736.8,624819.7,647925.9,668569.1,694142.6,714202.9,726561.9,745011.3,772611.4,799686.2
44000,Rhode Island,47277.5,47702.2,49468.3,50206.1,51583,53034.1,54559.7,56390.8,57353.5,57940.8,59129,61319.1
45000,South Carolina,163886.2,161813.5,165860,172075.1,177618.1,185009.1,194352.7,205816.7,215120.2,223044.9,233665.3,244662.3
46000,South Dakota,36603,36432.9,37852.5,41892.1,43901.5,45361,46785.4,48070.2,49151.4,50299.4,52404.3,53939.9
47000,Tennessee,254242,252332.8,257776,269814.2,286341.5,295862.7,306153.1,325294,336413.9,349837.7,361381.5,376916.5
48000,Texas,1244294.9,1169607.7,1245959.4,1341334.4,1421180.1,1515195.6,1579299.5,1573498.4,1579014.9,1677110.9,1809706.4,1863953.8
49000,Utah,117178.9,113985.4,118669.8,125565,129512.5,135450.4,142150.1,149153.4,157827.3,168058.4,182643.6,195088.4
50000,Vermont,25999.3,26099.2,27406.6,28418.7,29241.3,29289.6,30099.4,30933.3,31661.2,32246.9,33032.7,34127.5
51000,Virginia,404634.9,410967.4,426992.4,435180.3,445973.6,457640.5,465181.8,483786.5,496021.1,509892.8,531757.1,554305.8
53000,Washington,354794.1,351245,365497.8,379574.9,400530.6,419092.4,440648,466689.7,487275.1,519942.9,564480.7,597873.8
54000,West Virginia,62694.8,63600.7,65998.7,69234.1,70322.2,71481.5,72648.2,71318.5,70924.4,74799.5,79044.8,79139.7
55000,Wisconsin,246814.5,247210,256432.9,266364.4,277107.1,284270.9,295696,307507.9,314073.3,318364.2,332263.5,344724.8
56000,Wyoming,42819.3,36252,37680.7,39751.4,38855.4,39289.8,40310.6,38426.9,35879,36863.7,39032.3,39600.8
91000,New England,815405.3,811243.6,839810.7,856035.1,886830.9,903108.6,931130.6,980272.5,1006667.1,1037203.4,1086236.9,1132773
92000,Mideast,2651199.3,2682083.4,2800067.6,2865775.1,3000390.3,3085109.8,3208439.4,3331311,3440153.9,3537850.3,3704450.5,3859932
93000,Great Lakes,2064351,2011414.3,2095958.2,2183345.9,2272451.4,2341337.6,2442424.5,2525386.8,2575146.5,2642087.1,2761093.9,2840865.1
94000,Plains,941724.6,933179.4,969962.9,1017343.7,1068680,1105273.6,1154195.9,1188298.6,1205724.3,1239353,1293963.6,1330670.5
95000,Southeast,3224994.1,3167500.1,3266071.2,3352354.9,3463374.9,3574509.3,3709866.4,3879272.9,4002796.3,4174875.8,4363853.6,4552322.9
96000,Southwest,1752673,1645126.6,1736011.4,1855548.8,1955419.7,2065238.8,2155783.4,2149981.6,2163110.1,2290512.6,2459349.7,2539613.3
97000,Rocky Mountain,512295.6,491716.9,508574.4,530768.6,545855.9,572404.3,601755.7,620805.3,637946.3,673948.1,721498.1,761116.7
98000,Far West,2715825,2637652.8,2728601.6,2827363.9,2947739.8,3082899,3233322,3418742.3,3554697.4,3774582.7,4011988.7,4225237.6
